Burghardt_ID,street_address,space_type,SPP,common,MULTI_STEM,DBH_2018,Ht_2018,Notes_2018,Condition,area_id,grade,grade_group,mean_temp_C,Status,HOLC_neigh,SPACELENGTH,SPACEWIDTH,long,lat,survey_date,Observer(s),Site Type,Land Use,Groundcover,Mortality Status,Species ID Notes,Basal Sprouts,Root Girdling,Overhead Conflicts,Tree Height (ft),Trunk Diameter (in),Height of Diameter (in),Fine Twig Dieback,Leaf Discoloration,Leaf Defoliation,Crown Light Exposure,Crown Vigor,Exit Holes,Exudation/Growths,Galleries,Bark Fissures/cankers,Scale,Aphids,Flatids,Whitefly,Twig/branch Galls,Leaf Galls,SLF,Caterpillars,Natural Enemies,Ants,Pruning,Vehicle Damage,dog_poop,trash,spider_mite,foreign_embedded,survey_notes,Photosynq,Phi2,PhiNPQ,PhiNO,Ambient Humidity,Ambient Temperature,Leaf Temperature,Leaf Temperature Differential,leaf_thickness,SPAD,photosynq_date,Time of Day,Side,Watering,Fencing,caterpillars_combined
25892,"2727 HAMPDEN AVE, Baltimore, MD",Well/Pit,Cercis canadensis,"redbud, eastern",1,1.5,7,NA,Good,2873,D,D,35.9204818232748,Focal,D6,9,6,-76.623597416751494,39.319751229055399,45819,MS KM SM OA,Sidewalk Planting Strip,NA,Properly mulched,Alive,ok,Present,0 (none),None,14.6,8.6999999999999993,32,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,Moderate,None,Trace,None,None,None,Trace,None,Trace,Moderate,Improper (minor/branches),Car (off ground),Absent,Absent,None,Absent,landscaped,yes,0.552,0.179,0.27,32.29102,33.2,31.07,-2.13,0.07,39.3,6/11/2025 11:43,11.72555556,NA,NA,NA,NA
90246,"5311 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Celtis laevigata,sugarberry,1,1.4,10,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.589659290259107,39.354736500939097,45859,MS KM SM,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,27.9,5.3,54,(5) 2-5%,2 (2-25%),1 (0-1%),3,1 (healthy),None,Honeydew/sooty mold,Trace,Trace,Trace,None,None,Trace,None,Substantive,None,None,Trace,Trace,Healed,Mower (near ground),Absent,Absent,None,Absent,light in ground under tree,yes,0.593,0.192,0.215,35.34082,35.01,35.95,0.94,0.02,22.15,7/21/2025 14:51,14.8525,NA,NA,NA,NA
90190,"5315 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Celtis laevigata,sugarberry,1,1.7,8,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.589674977291395,39.355103695934197,45859,MS KM SM,Median,Single-family Residential-attached,Lawn,Alive,ok,Present,0 (none),None,35.8,9.08,54,(1) 0-1%,2 (2-25%),1 (0-1%),3,1 (healthy),None,Wet/weeping wounds (often blackened),None,None,Trace,Trace,None,Trace,None,Trace,None,Trace,Trace,Trace,Healed,Car (off ground),Absent,Present,None,Present,"english ivy, trace cicadellid, orange egg mass",yes,0.319,0.576,0.105,34.7793,35.08,37.11,2.03,0.02,28.011,7/21/2025 15:06,15.10972222,NA,NA,NA,NA
171534,"3702 THE ALAMEDA, Baltimore, MD",Tree Lawn,Celtis occidentalis,"hackberry, common",1,1.4,12,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,4,-76.595420231233305,39.332812419457198,45859,MS KM SM,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,ok,Absent,0 (none),None,27.2,4.26,54,(15) 11-15%,1 (0-1%),1 (0-1%),5 (all sides in sun),2 (slightly unhealthy),None,Honeydew/sooty mold,None,Trace,Substantive,Trace,None,Trace,None,Trace,None,None,Trace,Trace,None,Car (off ground),Absent,Present,None,Absent,NA,yes,0.574,0.152,0.274,35.8125,35.8,30.47,-5.33,0.34,41.472,7/21/2025 13:16,13.27805556,NA,NA,NA,NA
27742,"2743 MILES AVE, Baltimore, MD",Well/Pit,Acer saccharum,"maple, sugar",1,4,20,NA,Good,2873,D,D,35.9204818232748,Focal,D6,7,4,-76.623154547957299,39.320366245562496,45819,MS KM SM OA,Sidewalk Cutout,Commercial,Properly mulched,Alive,ok,Absent,0 (none),None,20.8,7.2,54,(5) 2-5%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,Trace,None,None,Trace,None,None,None,None,Trace,None,Trace,Trace,Healed,None,Present,Absent,None,Absent,mistletoe,yes,0.726,0.08,0.193,34.00781,33.52,28.93,-4.59,0.38,50.998,6/11/2025 11:33,11.56111111,NA,NA,NA,NA
27850,"2918 HUNTINGDON AVE, Baltimore, MD",Well/Pit,Cercis canadensis,"redbud, eastern",1,2.3,12,NA,Good,2873,D,D,35.9204818232748,Focal,D6,5,5,-76.623866515653205,39.321952860493099,45819,MS KM SM OA,Sidewalk Cutout,Single-family Residential-attached,Properly mulched,Alive,ok,Absent,0 (none),None,15,4.5999999999999996,54,(1) 0-1%,1 (0-1%),1 (0-1%),3,1 (healthy),Small round with sawdust tube (Ambrosia or bark beetles),Wet/weeping wounds (often blackened),NA,Trace,Trace,None,None,None,None,None,Trace,None,Trace,Moderate,Improper (minor/branches),Car (off ground),Absent,Absent,None,Absent,"moderate cicadellid, lichen, took tape off wrapped around tree",yes,0.663,0.096,0.241,36.57812,32.46,31.15,-1.31,0.04,33.592,6/11/2025 10:53,10.89388889,NA,NA,NA,NA
27852,"2836 HUNTINGDON AVE, Baltimore, MD",Well/Pit,Acer saccharum,"maple, sugar",1,1.9,10,NA,Good,2873,D,D,35.9204818232748,Focal,D6,8,4,-76.623329597862096,39.321287071140603,45819,MS KM SM OA,Sidewalk Cutout,Single-family Residential-attached,Properly mulched,Alive,ok,Absent,0 (none),None,16.7,4.2,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,Honeydew/sooty mold,None,None,None,Substantive,Trace,None,None,None,Trace,None,Trace,None,Improper (minor/branches),None,Absent,Absent,None,Absent,knife slashes,yes,0.483,0.277,0.24,34.56543,31.98,31.01,-0.97,0.11,47.25,6/11/2025 11:06,11.11472222,NA,NA,NA,NA
27962,"2833 HAMPDEN AVE, Baltimore, MD",Well/Pit,Acer saccharum,"maple, sugar",1,2.6,15,NA,Good,2873,D,D,35.9204818232748,Focal,D6,10,7,-76.624519251818199,39.320941468283301,45819,MS KM SM OA,Sidewalk Cutout,Single-family Residential-attached,Properly mulched,Alive,ok,Absent,0 (none),None,17.6,5.9,48,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,Trace,None,Trace,None,None,None,None,None,Trace,Trace,Trace,Healed,None,Absent,Absent,None,Absent,partial fence around cutout,yes,0.63,0.145,0.225,37.24902,32.96,27.81,-5.15,0.1,35.827,6/11/2025 11:17,11.28861111,NA,NA,NA,NA
82887,"827 MONTPELIER ST, Baltimore, MD",Open/Unrestricted,Tilia americana,"linden, American",1,2.5,10,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,>20,-76.606145835231004,39.325006853607597,45819,MS KM SM OA,Maintained Park,Maintained Park,Herbaceous,Alive,70% americana,Absent,0 (none),None,38,7.7,54,(1) 0-1%,1 (0-1%),1 (0-1%),3,1 (healthy),Round in rows (sapsucker),None,None,None,None,None,None,None,None,Trace,Trace,None,Trace,None,Improper (minor/branches),None,Absent,Present,None,Absent,english ivy,yes,0.664,0.108,0.228,32.24316,35.19,27.07,-8.12,0.27,36.513,6/11/2025 13:59,13.99916667,NA,NA,NA,NA
83354,"827 MONTPELIER ST, Baltimore, MD",Open/Unrestricted,Acer saccharinum,"maple, silver",1,4.6,20,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,>20,-76.606069541266905,39.324702804324801,45819,MS KM SM OA,Natural Area,Maintained Park,Herbaceous,Alive,ok,Present,0 (none),None,44.8,8.4,54,(1) 0-1%,2 (2-25%),1 (0-1%),2,1 (healthy),Round in rows (sapsucker),None,None,None,None,None,None,None,None,None,Trace,None,Trace,Trace,None,None,Absent,Absent,None,Absent,hard to see leaves,yes,0.72,0.098,0.182,35.11816,34.29,29.19,-5.1,0.26,30.525,6/11/2025 14:23,14.39333333,NA,NA,NA,NA
83387,"827 MONTPELIER ST, Baltimore, MD",Open/Unrestricted,Acer saccharinum,"maple, silver",1,3.9,2,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,>20,-76.606026440637194,39.324921787373498,45819,MS KM SM OA,Natural Area,Maintained Park,NA,Alive,ok,Present,0 (none),None,45.4,9.8000000000000007,54,(1) 0-1%,1 (0-1%),1 (0-1%),1,1 (healthy),None,Honeydew/sooty mold,None,None,Trace,None,None,None,None,None,None,None,None,Trace,None,None,Absent,Absent,None,Absent,NA,yes,0.715,0.104,0.181,31.15039,34.8,32.45,-2.35,0.02,32.666,6/11/2025 14:12,14.21,NA,NA,NA,NA
83390,"827 MONTPELIER ST, Baltimore, MD",Open/Unrestricted,Acer saccharinum,"maple, silver",2,3,10,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,>20,-76.606283688753606,39.3250373744238,45819,MS KM SM OA,Maintained Park,Natural Area,Herbaceous,Alive,ok,Present,0 (none),None,35.6,6.1,54,(1) 0-1%,2 (2-25%),1 (0-1%),3,2 (slightly unhealthy),None,Wet/weeping wounds (often blackened),None,Substantive,None,None,Trace,None,None,Trace,Trace,None,Trace,Trace,Improper (major/trunk),NA,Absent,Present,None,Absent,hard to see leaves,yes,0.608,0.156,0.236,33.27637,35.19,34.55,-0.64,0.02,31.122,6/11/2025 13:45,13.75333333,NA,NA,NA,NA
83399,"827 MONTPELIER ST, Baltimore, MD",Open/Unrestricted,Quercus rubra,"oak, northern red",1,2.4,10,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,>20,-76.605981937961005,39.3249165732718,45819,MS KM SM OA,Natural Area,Maintained Park,Herbaceous,Stump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90209,"5221 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Magnolia grandiflora,"magnolia, southern",1,1.9,8,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.589889601292697,39.353914440177803,45859,MS KM SM,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,9.8,1.94,54,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,None,None,None,None,None,None,None,Trace,None,Trace,Trace,None,None,Absent,Absent,None,Absent,NA,yes,0.591,0.148,0.261,35.48828,35.49,30.57,-4.92,0.22,58.752,7/21/2025 14:36,14.61305556,NA,NA,NA,NA
90120,"5303 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Magnolia grandiflora,"magnolia, southern",1,1.4,8,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.589798333343097,39.354189013427003,45813,MS SM KTB,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,9,2.1,46,(1) 0-1%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,None,None,None,None,None,None,None,Moderate,None,Trace,Trace,None,None,Absent,Absent,None,Absent,NA,listed as 901120,0.227,0.712,0.061,41.53027,34.94,31.07,-3.87,0.14,26.903,6/5/2025 13:07,13.12583333,NA,NA,NA,NA
90128,"5303 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Magnolia grandiflora,"magnolia, southern",1,1.9,8,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.589778367957507,39.354232569483599,45813,MS SM KTB,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,11.7,3.4,54,(1) 0-1%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,None,None,None,None,None,None,None,Moderate,None,Trace,Moderate,None,None,Absent,Absent,None,Absent,deer rub,yes,0.326,0.587,0.087,42.63672,34.3,31.89,-2.41,0.17,31.885,6/5/2025 13:13,13.22833333,NA,NA,NA,NA
90135,"4708 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Celtis laevigata,sugarberry,1,1.5,10,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.591833533856402,39.348310007834101,45812,MS KM SM,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,24.8,10.78,54,(5) 2-5%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,None,None,None,None,None,Trace,Trace,Trace,Trace,Trace,Improper (minor/branches),Other,Absent,Present,None,Absent,car and mower damage,yes,0.561,0.19,0.249,42.61621,32.9,31.11,-1.79,0.02,27.15,6/4/2025 13:40,13.68138889,NA,NA,NA,NA
90148,"5300 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Acer saccharum,"maple, sugar",1,1.6,10,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.5898190115294,39.354331812865098,45813,MS SM KTB,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,22.5,6.4,54,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,None,Trace,Trace,None,Trace,None,None,Moderate,None,Trace,Moderate,None,None,Absent,Absent,None,Absent,cicadellid trace,yes,0.636,0.122,0.242,43.4082,34.13,29.61,-4.52,0.18,41.642,6/5/2025 13:22,13.36944444,NA,NA,NA,NA
90225,"4810 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Quercus bicolor,"oak, swamp white",1,1.9,10,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.591601907623001,39.349206125691303,45812,MS KM SM,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,31.8,7.57,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,Trace,Trace,Trace,None,None,None,None,Trace,None,None,Trace,Trace,None,Mower (near ground),Absent,Present,None,Absent,"shothole miner , trace lacebug eggs",yes,0.407,0.264,0.329,44.9873,32.17,28.93,-3.24,0.13,45.328,6/4/2025 13:49,13.83111111,NA,NA,NA,NA
90238,"5311 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Celtis laevigata,sugarberry,1,1.8,12,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.589667134662406,39.354699009651597,45813,MS SM KTB,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,17.7,5.7,54,(5) 2-5%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,None,Trace,Moderate,None,None,Substantive,Moderate,None,Moderate,Trace,Trace,Healed,None,Absent,Absent,None,Absent,NA,yes,0.415,0.448,0.137,43.7793,33.26,33.33,0.07,0.02,24.431,6/5/2025 13:36,13.61472222,NA,NA,NA,NA
90844,"5309 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Magnolia grandiflora,"magnolia, southern",1,2,8,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.589699220758305,39.354568340887496,45813,MS SM KTB,Median,Single-family Residential-attached,Lawn,Alive,ok,Absent,0 (none),None,10.1,3.8,41,(1) 0-1%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,None,None,None,None,Trace,None,None,Trace,None,None,None,None,None,Absent,Absent,None,Absent,deer rub,yes,0.464,0.318,0.217,43.56738,33.35,32.41,-0.94,0.74,54.214,6/5/2025 13:28,13.47861111,NA,NA,NA,NA
99123,"5315 NORTHWOOD DR, Baltimore, MD",Open/Unrestricted,Quercus rubra,"oak, northern red",1,1.3,10,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.593427612101905,39.351277650128097,45813,MS SM KTB,Maintained Park,Single-family Residential-attached,Lawn,Alive,"looks weird, part black oak?",Absent,0 (none),None,31.3,7.9,54,(1) 0-1%,2 (2-25%),2 (2-25%),3,1 (healthy),None,Honeydew/sooty mold,None,Trace,Trace,Moderate,None,None,None,Moderate,Trace,Moderate,Moderate,Moderate,None,Mower (near ground),Absent,Absent,Moderate,Absent,"red mite, honeydew on leaves, cicadellid trace, eriophyid mites",yes,0.537,0.165,0.298,47.24609,33.3,30.15,-3.15,0.06,47.375,6/5/2025 13:58,13.96972222,NA,NA,NA,NA
101231,"5315 NORTHWOOD DR, Baltimore, MD",Open/Unrestricted,Acer saccharinum,"maple, silver",1,2.9,15,NA,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.595996549429202,39.352984823156397,45812,MS KM SM,Maintained Park,Multi-family Residential,Herbaceous,Alive,ok,Present,0 (none),None,53.5,13.15,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,Honeydew/sooty mold,None,None,None,Trace,None,None,None,Trace,Moderate,None,Trace,Trace,None,None,Absent,Absent,None,Absent,NA,yes,0.674,0.119,0.207,43.4248,33.25,30.47,-2.78,0.25,36.421,6/4/2025 14:14,14.23861111,NA,NA,NA,NA
103025,"5315 NORTHWOOD DR, Baltimore, MD",Open/Unrestricted,Quercus rubra,"oak, northern red",1,1.2,10,remove weed trees; remove hardware,Good,2879,A,AB,34.6491558195865,Focal,A6,>20,>20,-76.595438747098498,39.352631726970998,45812,MS KM SM,Natural Area,Single-family Residential-attached,Bare ground,Alive,ok,Absent,0 (none),None,48.1,12.54,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,Trace,Trace,None,None,None,None,None,Trace,None,None,Trace,Healed,Mower (near ground),Absent,Absent,None,Absent,red mite trace,yes,0.506,0.283,0.212,44.23535,32.83,32.93,0.1,0.11,35.831,6/4/2025 14:03,14.05138889,NA,NA,NA,NA
107124,"144 N MILTON AVE, Baltimore, MD",Well/Pit,Quercus phellos,"oak, willow",1,4,20,NA,Good,2869,C,C,36.7633035554079,Focal,C1,12,4,-76.582086506190294,39.294063767386703,45811,MS KM SM,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,ok,Absent,0 (none),Wires,38.7,10.96,54,(15) 11-15%,3 (26-50%),1 (0-1%),4,3 (moderately unhealthy),None,None,Trace,Trace,None,Trace,None,None,None,None,None,None,Moderate,None,Improper (minor/branches),Other,Present,Present,None,Present,"lights in tree girdled it, low and high vehicle damage",yes,0.613,0.133,0.254,26.9502,32.5,34.13,1.63,0.02,14.432,6/3/2025 13:50,13.84888889,NA,NA,NA,NA
107135,"144 N MILTON AVE, Baltimore, MD",Well/Pit,Cercis canadensis,"redbud, eastern",1,3.9,12,NA,Good,2869,C,C,36.7633035554079,Focal,C1,8,4,-76.582088645035697,39.294106258464701,45811,MS KM SM,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,straight spp,Absent,0 (none),Wires,21.5,9.3000000000000007,54,(1) 0-1%,1 (0-1%),1 (0-1%),3,1 (healthy),None,None,None,None,Trace,None,None,None,None,None,Trace,Trace,Moderate,None,Improper (minor/branches),Car (off ground),Absent,Present,None,Absent,fence,yes,0.559,0.181,0.26,26.08105,31.42,28.85,-2.57,0.2,29.929,6/3/2025 14:05,14.08972222,NA,NA,NA,NA
